department,id,alter_id,name,credit,teacher2,capacity,capacity_graduate,time,restrict,character,grade,second_choose,exprement,retry,choose_or_not,group
美术学院,80807532,0,创作构图训练,2,魏小明,0,6,"3-6(11-16周),3-5(11-16周),…",网上…,,,否,,否,否,
美术学院,80807562,0,陶瓷器制作与修复工艺,2,王建中,0,9,"3-3(3-4周),5-4(3-4周),5-3(3-…",网上…,,,否,,否,否,
美术学院,80809511,0,设计鉴赏与评价,1,张夫也,20,30,"5-4(1-4周),5-3(1-4周)",报名…,,,否,,否,否,
美术学院,80809522,0,设计程序与方法,2,赵超,10,20,"4-6(1-4周),4-5(1-4周),2-6(1-…",报名…,,,否,,否,否,
美术学院,80809551,0,设计文化,1,聂影,5,15,"4-2(9-12周),4-1(9-12周)",报名…,,,否,,否,否,
美术学院,80809573,0,整合创新设计,3,刘振生,10,20,"1-4(3-8周),1-3(3-8周),3-4(3-…",报名…,,,否,,否,否,
土木系,80910022,0,工程项目环境影响评价,2,李小冬,0,25,4-6(1-10周),,,,否,,否,否,
土木系,80910062,0,房地产投资项目评估与案例分析,2,刘洪玉,0,30,"2-4(后八周),2-3(后八周)",,,,否,,否,否,
土木系,80910121,0,建设工程担保,1,邓晓梅,10,30,1-2(前八周),,,,否,,否,否,
土木系,80910152,0,房地产投资,2,吴璟,0,20,"5-4(后八周),5-3(后八周)",优先:土木系管…,,,否,,否,否,
土木系,80910242,0,工程法律与合同,2,廖彬超,0,30,(全周),限:土木系项目…,全外文授课,,否,,否,否,
土木系,80910292,0,全球建设工程与管理实践,2,郭红领,10,30,1-6(全周),限:土木系、水…,全外文授课,,否,,否,否,
